state_fips,state,state_abbr,zipcode,county,city,citylower
1,Alabama,AL,35004,St. Clair,Acmar,acmar
1,Alabama,AL,35005,Jefferson,Adamsville,adamsville
1,Alabama,AL,35006,Jefferson,Adger,adger
1,Alabama,AL,35007,Shelby,Keystone,keystone
1,Alabama,AL,35010,Tallapoosa,New site,new site
1,Alabama,AL,35014,Talladega,Alpine,alpine
1,Alabama,AL,35016,Marshall,Arab,arab
1,Alabama,AL,35019,Cullman,Baileyton,baileyton
1,Alabama,AL,35020,Jefferson,Bessemer,bessemer
1,Alabama,AL,35022,Jefferson,Zcta 35022,zcta 35022
1,Alabama,AL,35023,Jefferson,Hueytown,hueytown
1,Alabama,AL,35031,Blount,Blountsville,blountsville
1,Alabama,AL,35033,Cullman,Bremen,bremen
1,Alabama,AL,35034,Bibb,Brent,brent
1,Alabama,AL,35035,Bibb,Brierfield,brierfield
1,Alabama,AL,35036,Jefferson,Brookside,brookside
1,Alabama,AL,35040,Shelby,Calera,calera
1,Alabama,AL,35042,Bibb,Centreville,centreville
1,Alabama,AL,35043,Shelby,Chelsea,chelsea
1,Alabama,AL,35044,Talladega,Coosa pines,coosa pines
1,Alabama,AL,35045,Chilton,Clanton,clanton
1,Alabama,AL,35046,Chilton,Zcta 35046,zcta 35046
1,Alabama,AL,35049,Blount,Cleveland,cleveland
1,Alabama,AL,35051,Shelby,Columbiana,columbiana
1,Alabama,AL,35052,St. Clair,Cook springs,cook springs
1,Alabama,AL,35053,Cullman,Crane hill,crane hill
1,Alabama,AL,35054,St. Clair,Cropwell,cropwell
1,Alabama,AL,35055,Cullman,Cullman,cullman
1,Alabama,AL,35057,Cullman,Cullman,cullman
1,Alabama,AL,35058,Cullman,Zcta 35058,zcta 35058
1,Alabama,AL,35060,Jefferson,Docena,docena
1,Alabama,AL,35061,Jefferson,Dolomite,dolomite
1,Alabama,AL,35062,Jefferson,Dora,dora
1,Alabama,AL,35063,Walker,Empire,empire
1,Alabama,AL,35064,Jefferson,Fairfield,fairfield
1,Alabama,AL,35068,Jefferson,Coalburg,coalburg
1,Alabama,AL,35070,Cullman,Garden city,garden city
1,Alabama,AL,35071,Jefferson,Gardendale,gardendale
1,Alabama,AL,35072,Coosa,Goodwater,goodwater
1,Alabama,AL,35073,Jefferson,Alden,alden
1,Alabama,AL,35074,Bibb,Green pond,green pond
1,Alabama,AL,35077,Cullman,Hanceville,hanceville
1,Alabama,AL,35078,Shelby,Harpersville,harpersville
1,Alabama,AL,35079,Blount,Hayden,hayden
1,Alabama,AL,35080,Shelby,Helena,helena
1,Alabama,AL,35082,Clay,Hollins,hollins
1,Alabama,AL,35083,Cullman,Holly pond,holly pond
1,Alabama,AL,35085,Chilton,Jemison,jemison
1,Alabama,AL,35087,Cullman,Joppa,joppa
1,Alabama,AL,35089,Coosa,Kellyton,kellyton
1,Alabama,AL,35091,Jefferson,Kimberly,kimberly
1,Alabama,AL,35094,Jefferson,Leeds,leeds
1,Alabama,AL,35096,Talladega,Lincoln,lincoln
1,Alabama,AL,35097,Blount,Locust fork,locust fork
1,Alabama,AL,35098,Cullman,Logan,logan
1,Alabama,AL,350HH,Chilton,Zcta 350hh,zcta 350hh
1,Alabama,AL,350XX,Coosa,Zcta 350xx,zcta 350xx
1,Alabama,AL,35111,Tuscaloosa,Mc calla,mc calla
1,Alabama,AL,35112,St. Clair,Margaret,margaret
1,Alabama,AL,35114,Shelby,Maylene,maylene
1,Alabama,AL,35115,Shelby,Montevallo,montevallo
1,Alabama,AL,35116,Jefferson,Morris,morris
1,Alabama,AL,35117,Jefferson,Mount olive,mount olive
1,Alabama,AL,35118,Jefferson,Sylvan springs,sylvan springs
1,Alabama,AL,35119,Jefferson,New castle,new castle
1,Alabama,AL,35120,St. Clair,Odenville,odenville
1,Alabama,AL,35121,Blount,Oneonta,oneonta
1,Alabama,AL,35124,Shelby,Indian springs,indian springs
1,Alabama,AL,35125,St. Clair,Pell city,pell city
1,Alabama,AL,35126,Jefferson,Dixiana,dixiana
1,Alabama,AL,35127,Jefferson,Pleasant grove,pleasant grove
1,Alabama,AL,35128,St. Clair,Zcta 35128,zcta 35128
1,Alabama,AL,35130,Walker,Quinton,quinton
1,Alabama,AL,35131,St. Clair,Ragland,ragland
1,Alabama,AL,35133,Blount,Remlap,remlap
1,Alabama,AL,35135,St. Clair,Riverside,riverside
1,Alabama,AL,35136,Coosa,Rockford,rockford
1,Alabama,AL,35139,Jefferson,Sayre,sayre
1,Alabama,AL,35143,Shelby,Shelby,shelby
1,Alabama,AL,35146,St. Clair,Springville,springville
1,Alabama,AL,35147,Shelby,Sterrett,sterrett
1,Alabama,AL,35148,Walker,Sumiton,sumiton
1,Alabama,AL,35149,Talladega,Sycamore,sycamore
1,Alabama,AL,35150,Talladega,Sylacauga,sylacauga
1,Alabama,AL,35151,Talladega,Zcta 35151,zcta 35151
1,Alabama,AL,35160,Talladega,Talladega,talladega
1,Alabama,AL,35171,Chilton,Thorsby,thorsby
1,Alabama,AL,35172,Blount,Trafford,trafford
1,Alabama,AL,35173,Jefferson,Trussville,trussville
1,Alabama,AL,35175,Marshall,Union grove,union grove
1,Alabama,AL,35176,Shelby,Vandiver,vandiver
1,Alabama,AL,35178,Shelby,Vincent,vincent
1,Alabama,AL,35179,Cullman,Vinemont,vinemont
1,Alabama,AL,35180,Jefferson,Warrior,warrior
1,Alabama,AL,35183,Coosa,Weogufka,weogufka
1,Alabama,AL,35184,Bibb,West blocton,west blocton
1,Alabama,AL,35186,Shelby,Wilsonville,wilsonville
1,Alabama,AL,35188,Bibb,Woodstock,woodstock
1,Alabama,AL,351HH,Blount,Zcta 351hh,zcta 351hh
1,Alabama,AL,351XX,Coosa,Zcta 351xx,zcta 351xx
1,Alabama,AL,35203,Jefferson,Birmingham,birmingham
1,Alabama,AL,35204,Jefferson,Birmingham,birmingham
1,Alabama,AL,35205,Jefferson,Birmingham,birmingham
1,Alabama,AL,35206,Jefferson,Birmingham,birmingham
1,Alabama,AL,35207,Jefferson,Birmingham,birmingham
1,Alabama,AL,35208,Jefferson,Birmingham,birmingham
1,Alabama,AL,35209,Jefferson,Homewood,homewood
1,Alabama,AL,35210,Jefferson,Irondale,irondale
1,Alabama,AL,35211,Jefferson,Birmingham,birmingham
1,Alabama,AL,35212,Jefferson,Birmingham,birmingham
1,Alabama,AL,35213,Jefferson,Crestline height,crestline height
1,Alabama,AL,35214,Jefferson,Birmingham,birmingham
1,Alabama,AL,35215,Jefferson,Center point,center point
1,Alabama,AL,35216,Jefferson,Vestavia hills,vestavia hills
1,Alabama,AL,35217,Jefferson,Birmingham,birmingham
1,Alabama,AL,35218,Jefferson,Birmingham,birmingham
1,Alabama,AL,35221,Jefferson,Birmingham,birmingham
1,Alabama,AL,35222,Jefferson,Birmingham,birmingham
1,Alabama,AL,35223,Jefferson,Mountain brook,mountain brook
1,Alabama,AL,35224,Jefferson,Birmingham,birmingham
1,Alabama,AL,35226,Jefferson,Bluff park,bluff park
1,Alabama,AL,35228,Jefferson,Midfield,midfield
1,Alabama,AL,35233,Jefferson,Birmingham,birmingham
1,Alabama,AL,35234,Jefferson,Birmingham,birmingham
1,Alabama,AL,35235,Jefferson,Center point,center point
1,Alabama,AL,35242,Shelby,Shoal creek,shoal creek
1,Alabama,AL,35243,Jefferson,Cahaba heights,cahaba heights
1,Alabama,AL,35244,Jefferson,Hoover,hoover
1,Alabama,AL,352HH,Jefferson,Zcta 352hh,zcta 352hh
1,Alabama,AL,35401,Tuscaloosa,Tuscaloosa,tuscaloosa
1,Alabama,AL,35403,Tuscaloosa,Tuscaloosa,tuscaloosa
1,Alabama,AL,35404,Tuscaloosa,Holt,holt
1,Alabama,AL,35405,Tuscaloosa,Tuscaloosa,tuscaloosa
1,Alabama,AL,35406,Tuscaloosa,Tuscaloosa,tuscaloosa
1,Alabama,AL,35441,Hale,Stewart,stewart
1,Alabama,AL,35442,Pickens,Aliceville,aliceville
1,Alabama,AL,35443,Greene,Boligee,boligee
1,Alabama,AL,35444,Tuscaloosa,Brookwood,brookwood
1,Alabama,AL,35446,Tuscaloosa,Buhl,buhl
1,Alabama,AL,35447,Pickens,Carrollton,carrollton
1,Alabama,AL,35452,Tuscaloosa,Coker,coker
1,Alabama,AL,35453,Tuscaloosa,Cottondale,cottondale
1,Alabama,AL,35456,Tuscaloosa,Duncanville,duncanville
1,Alabama,AL,35457,Tuscaloosa,Echola,echola
1,Alabama,AL,35458,Tuscaloosa,Elrod,elrod
1,Alabama,AL,35459,Sumter,Emelle,emelle
1,Alabama,AL,35460,Sumter,Epes,epes
1,Alabama,AL,35461,Pickens,Ethelsville,ethelsville
1,Alabama,AL,35462,Greene,Eutaw,eutaw
1,Alabama,AL,35463,Tuscaloosa,Fosters,fosters
1,Alabama,AL,35464,Sumter,Gainesville,gainesville
1,Alabama,AL,35466,Pickens,Gordo,gordo
1,Alabama,AL,35469,Greene,Knoxville,knoxville
1,Alabama,AL,35470,Sumter,Coatopa,coatopa
1,Alabama,AL,35471,Pickens,Mc shan,mc shan
1,Alabama,AL,35473,Tuscaloosa,Zcta 35473,zcta 35473
1,Alabama,AL,35474,Hale,Cypress,cypress
1,Alabama,AL,35475,Tuscaloosa,Zcta 35475,zcta 35475
1,Alabama,AL,35476,Tuscaloosa,Northport,northport
1,Alabama,AL,35477,Sumter,Panola,panola
1,Alabama,AL,35480,Tuscaloosa,Ralph,ralph
1,Alabama,AL,35481,Pickens,Reform,reform
1,Alabama,AL,35490,Tuscaloosa,Vance,vance
1,Alabama,AL,354HH,Greene,Zcta 354hh,zcta 354hh
1,Alabama,AL,354XX,Sumter,Zcta 354xx,zcta 354xx
1,Alabama,AL,35501,Walker,Jasper,jasper
1,Alabama,AL,35503,Walker,Zcta 35503,zcta 35503
1,Alabama,AL,35504,Walker,Zcta 35504,zcta 35504
1,Alabama,AL,35540,Winston,Addison,addison
1,Alabama,AL,35541,Winston,Arley,arley
1,Alabama,AL,35542,Fayette,Bankston,bankston
1,Alabama,AL,35543,Marion,Bear creek,bear creek
1,Alabama,AL,35544,Lamar,Beaverton,beaverton
1,Alabama,AL,35545,Fayette,Belk,belk
1,Alabama,AL,35546,Fayette,Berry,berry
1,Alabama,AL,35548,Marion,Brilliant,brilliant
1,Alabama,AL,35549,Walker,Carbon hill,carbon hill
1,Alabama,AL,35550,Walker,Cordova,cordova
1,Alabama,AL,35552,Lamar,Detroit,detroit
1,Alabama,AL,35553,Winston,Double springs,double springs
1,Alabama,AL,35554,Fayette,Eldridge,eldridge
1,Alabama,AL,35555,Fayette,Fayette,fayette
1,Alabama,AL,35559,Fayette,Glen allen,glen allen
1,Alabama,AL,35563,Marion,Guin,guin
1,Alabama,AL,35564,Marion,Hackleburg,hackleburg
1,Alabama,AL,35565,Winston,Haleyville,haleyville
1,Alabama,AL,35570,Marion,Hamilton,hamilton
1,Alabama,AL,35571,Franklin,Hodges,hodges
1,Alabama,AL,35572,Winston,Houston,houston
